group,order,fam_,Species,L-W group,Female length at maturity (mm),length at hatching (mm),mass at hatch (g),Size at maturity (g),mo/M,Clutch size,Clutches/yr,Female age at maturity,,adult lifespan,Adult survival rate,Adult instantaneous mortality rate per year,juvenile survival to adulthood,,lifetime fecundity,annual juvenile survival,reproductive mode,Notes
Reptile,Squamate,Corytophanidae,Basiliscus basiliscus,Iguania,135,42,1.702932558,75.10561579,0.022753399,9.5,6,1.7,97.06715581,1.492537313,0.33,1.11,0.024,85.07462687,51.41329629,0.11,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Teiidae,Cnemidophorus sexlineatus,Teiidae,68,32,0.859046025,8.955765606,0.086967513,2.1,2,2,3.607993305,1.19047619,0.16,1.83,0.4,5,2.291849003,0.63,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Teiidae,Cnemidophorus tigris,Teiidae,70,37,1.349296401,9.800650552,0.126723143,4.1,1.5,1.8,8.298172866,1.666666667,0.4,0.92,0.195,10.25,6.711843508,0.41,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Teiidae,Cnemidophorus tigris,Teiidae,83,37.5,1.406815817,16.6468807,0.076216375,2,1.5,1,4.220447451,1.923076923,0.48,0.73,0.347,5.769230769,4.087365113,0.35,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Teiidae,Cnemidophorus tigris,Teiidae,70,39,1.58931846,9.800650552,0.150290551,2.1,1.1,1.8,3.671325643,2.222222222,0.55,0.6,0.399,5.133333333,3.863929461,0.61,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Teiidae,Cnemidophorus uniparens,Teiidae,58,36,1.239084081,5.460860218,0.213261963,2.8,2.5,0.8,8.673588567,1.086956522,0.08,2.53,0.266,7.608695652,2.771477457,0.2,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Crotaphytidae,Crotaphytus collaris,Iguania,78,42,1.702932558,12.67835174,0.134567811,7.6,1,0.8,12.94228744,1.923076923,0.48,0.73,0.138,14.61538462,10.35465829,0.09,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Crotaphytidae,Crotaphytus wislizeni,Iguania,103,44.6,2.069154628,31.23425271,0.066412883,7.6,1,1.8,15.72557517,2,0.5,0.69,0.132,15.2,10.96448231,0.33,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Iguanidae,Cyclura carinata,Iguania,192,80,13.76324459,235.3671695,0.058629417,4.3,1,6.5,59.18195174,10,0.9,0.11,0.047,43,40.8122528,0.62,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Holbrookia maculata,Iguania,44,24.5,0.296527934,1.980236357,0.150006971,3.5,2,1,2.075695538,1.666666667,0.4,0.92,0.171,11.66666667,7.639496676,0.17,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Lacertidae,Lacerta vivipara,Lacertidae,49,21,0.228491021,2.784637274,0.064232558,7.7,1,1.5,1.759380862,1.25,0.2,1.61,0.207,9.625,4.784278996,0.35,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Phrynosoma douglasi,Iguania,60,24,0.277348012,5.414327292,0.051365837,16,1,2,4.437568192,3.03030303,0.67,0.4,0.041,48.48484848,39.95230029,0.2,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus graciosus,Iguania,48.6,25.1,0.320731695,2.733766525,0.117555065,3.8,2,1.9,2.437560882,2,0.5,0.69,0.132,15.2,10.96448231,0.33,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus graciosus,Iguania,48.6,25.1,0.320731695,2.733766525,0.117555065,3.8,2,1.8,2.437560882,1.886792453,0.47,0.76,0.139,14.33962264,10.06592406,0.34,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus graciosus,Iguania,53,25.1,0.320731695,3.620984328,0.088774665,3.8,1,2,1.218780441,1.886792453,0.47,0.76,0.279,7.169811321,5.032962032,0.52,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus graciosus,Iguania,53,25.1,0.320731695,3.620984328,0.088774665,3.8,1,2,1.218780441,1.886792453,0.47,0.76,0.279,7.169811321,5.032962032,0.52,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
